Compound,Category,BL1-1_Mat,BL1-2_Mat_Bottom,BL1-2_Mat_Top ,BL2-23_Mat,LCL4_Mat,BL2-11_Streamers,BL1-1_Salt ,BL1-1_Salt_1,BL1-1_Salt_2,BL2-23_Salt,BL4_Salt,SL_Salt_2,BL2-1_Brine,BL2-2_Brine,BL_Sediment_3,BL1-1_Sediment,BL2-23_Sediment,BL4_Sediment,LCL4_Sediment,SL_Sediment_1,SL_Sediment_3,BL2-4_Brine,LCL5_Sediment
C18:1 FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.579328179
C18:1 FAME,FAME,0,0,0,0,0,0.580397227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n-C18:0 FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352905765,0,0,0,0,0,0,0,0
n-C18:0 FAME,FAME,0,0,0,0,0,1.077226399,0,0,0,0,0,0,4.522294635,1.087915102,0,0,0.391725318,0,0,0,0,1.032767568,0
n-C18:0 FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00585102,0,0,0,0.538478796
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251176185,0,0,0,0
PAIBE,PAIBE,0,0,0,0,0,2.049663631,0.916305723,0.894024974,0.91283775,0.845858999,0.890710258,0,7.551724138,6.083333333,1.825,0,0,0,1.552266735,0,0,5.475,1.556251013
PAIBE,PAIBE,0,0,0,1.960707072,2.011654738,0,0,0,0,0,0,0,0,0,0,1.494264481,1.528147216,1.119151285,0,1.825,1.825,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449207872,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159166983,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453023587,0,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155442643,0.332410371,0,0,0,0,0,0
n-C22:0 ,Short_Saturated_Alkane,0,0,0,0.431645276,0,0.570120691,0.067324655,0.049304402,0.07183911,0.080917926,0.102458638,0,0.912166318,0.554804932,0.727838056,0.418358754,0.571092387,0.773780209,0.329226734,0.378908069,0.437300972,0.771957739,0.275504247
C19:1 FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709956598,0,0,0,0.451465073
