RT,Compound,Category,BL1-1_Sediment,BL2-23_Sediment,BL2-2_Sediment_3,LCL4_Sediment,LCL5_Sediment,SL_Sediment_1,SL_Sediment_3,BL4_Sediment,BL1-2_Brine,BL2-23_Brine,BL4_Brine,BL2-4_Brine,LCL4_Brine,LCL5_Brine,BL2-2_Brine,BL2-11_Streamers,BL1-2_Mat_Top,BL1-2_Mat_Bottom,BL1-1_Mat,BL2-23_Mat,LCL4_Mat,LCL5_Mat,BL1-1_Salt,BL1-1_Salt_1,BL2-23_Salt,BL4_Salt,BL1-1_Salt_2,SL_Salt_2,SLSU_Spring,SLSL_Spring,SLSU_Sediment,SLP_Sediment
13.04,C5 Nitrogen ring,Aromatic,0,0,0,0.107560551,0,0,0,2.931348744,0,0.28922959,0.272371153,0,0,0,0,0,0,0,0,0,0,0,0,0.363915961,0,0.095717743,0,0.075119929,0,0,0.238902438,2.737630226
13.13,n-C17:0 FAME,Short_Saturated,0.952322433,0.893023808,1.117935964,0,0,0,0,0,0,0,0.577694108,0,0,0,0.917915996,16.6272404,1.793294654,0.735313398,1.255964608,0,1.643918759,0.594611963,0,0.088518219,0,0,0,0,0,0,0.081016397,1.341114155
13.15,C17:1 FAME,MUFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748986779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.2,n-C17:0 FAME,Short_Saturated,0.621019288,0.506234989,0.23652063,0,0,0,0,0.737345802,0,0,0.257336185,0,0,0,0.160279444,0,0,0,0,0,0,0,0,0.130925092,0,0,0,0,0,0,0.365655015,0
13.27,cy-C17:0 FAME,Cyclo,0.437074524,0,0,0,0,0,0,1.942743116,0,0,0,0,0,0.991241827,0.42166384,5.950256132,0,0.821454525,0.755054777,0,0,0,0,0,0,0,0,0,0,0,0,1.465376292
13.33,cy-C18:0 FAME,Cyclo,0.679942634,0,0,0,0,0,0,2.894831105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193562186,0,0,0,0,0,0,0.119914654,1.460384852
13.39,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.66911284,10.48304968,20.50007325,44.114495,14.10836787,5.296821896,0,0,0,0,0,0,0,0,0,0
13.41,n-C17:0 FAME,Short_Saturated,0.980862052,0.72481275,0.464507347,0,0.153985829,0,0,3.995600405,0,0,0.4635593,0.415029969,0,0.977658244,1.056021984,0,2.29779292,2.478542218,2.791183094,4.124579748,5.145853313,2.154859338,0,0.58040397,0,0.25956162,0,0,0,0,0,0
13.52,iso-C20:0,Isoprenoid,0.833784202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.73,iso-C20:0,Isoprenoid,1.868255832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.87,C18:3 FAME,PUFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082696304,0
13.94,iso-C20:0 FAME,Isoprenoid,0,1.525553473,1.097665707,0,0.410730687,0,0.520899132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.930159623,0.498926797,0,0.633841464,0,0,0,0.25987928,1.641907342
